Catag,Name ,Address,Address,,Pro,Mobile No,,Lat,Log
Hotel,Step Inn Guest House Lahore,"House# 4-B III Street # 1ØŒ Model Town Link Rd, near Servaid PharmacyØŒ Phase 3 GECH Society, Lahore, Punjab 54600","near Servaid PharmacyØŒ Phase 3 GECH Society, Lahore",54600,Punjab,3224965194,,31.4651986,74.3165321
Hotel,Decent palace hotel,"H.#221-.A. phase 2, model Town Ext, Model Town Link Rd, near fine pizza, Lahore",Lahore,,Punjab,3237002201,,31.4659509,74.3139009
Hotel,Sapphire Inn Motel,"237 Block P Ext, Model Town Link Rd, behind pace Shopping centre, Block P Model Town, Lahore, Punjab 54700","Model Town Link Rd, behind pace Shopping centre, Block P Model Town, Lahore",54700,Punjab,3004704223,,31.4709035,74.31383
Hotel,"Royal Palace Hotel, Faisal Town","House # 68-C, opposite Ú¯ÙˆØ±Ù…Û’ Ø±ÛŒØ³Ù¹ÙˆØ±Ø§Ù†Ù¹, Block C Faisal Town, Lahore, Punjab 54700","opposite Ú¯ÙˆØ±Ù…Û’ Ø±ÛŒØ³Ù¹ÙˆØ±Ø§Ù†Ù¹, Block C Faisal Town, Lahore",54700,Punjab,3237002201,,31.471392,74.3082965
Hotel,New Moon Soon Hotel,"9-C Main Rd, Block C1 Block C 1 Faisal Town, Lahore, Punjab 54000","Block C1 Block C 1 Faisal Town, Lahore",54000,Punjab,3410002700,,31.4755126,74.3090654
Hotel,Hotel Super Seven,"829-C Maulana Shaukat Ali Rd, near Akbar Chowk, Block C Faisal Town, Lahore, Punjab 54700","near Akbar Chowk, Block C Faisal Town, Lahore",54700,Punjab,3214961128,,31.4688162,74.3047568
Hotel,New Look Hotel,"922-A, Block B Faisal Town, Lahore, Punjab 54000","Block B Faisal Town, Lahore",54000,Punjab,3014274946,,31.4781325,74.3013836
Hotel,Hotel Basera,"Moon Market, 43 C Street 1, Block C 1 Faisal Town, Lahore, Punjab 54770","43 C Street 1, Block C 1 Faisal Town, Lahore",54770,Punjab,3244778886,,31.4761959,74.3075384
Hotel,Libra Family Guest House,"958-B, near Ravi Restaurant, Block B Faisal Town, Lahore, Punjab 54782","near Ravi Restaurant, Block B Faisal Town, Lahore",54782,Punjab,3014822024,saleemawan877@gmail.com,31.4760893,74.3060983
Hotel,Hotel One Garden Town,"18-A, Tariq Block Garden Town, Lahore",Lahore,,Punjab,3412201111,reservation@hotelone.com.pk,31.4918148,74.3096984
