name,address,website,phone_number,latitude,longitude,city,state,url,city_clean
Al-Lashar Hotel & Restaurant,"adjacent to Gate # 2, Sundar Industrial Estate, Lahore, Punjab 53801, Pakistan",al-lashar.com,+92 300 1527427,31.2847754,74.1920077,Lahore,Punjab,https://www.google.com/maps/place/Al-Lashar+Hotel+%26+Restaurant/data=!4m7!3m6!1s0x391855bb09f515d7:0x908e0183d1542683!8m2!3d31.2847754!4d74.1920077!16s%2Fg%2F11tc1d_phc!19sChIJ1xX1CbtVGDkRgyZU0YMBjpA?authuser=0&hl=en&rclk=1,lahore
Waseem Hotel,"G82X+3H8, Block H Gulberg III, Lahore, Punjab, Pakistan",,,31.5001575,74.3489604,Lahore,Punjab,https://www.google.com/maps/place/Waseem+Hotel/data=!4m7!3m6!1s0x3919052a914b137b:0x80da3b072c217277!8m2!3d31.5001575!4d74.3489604!16s%2Fg%2F11t_tffjgl!19sChIJexNLkSoFGTkRd3IhLAc72oA?authuser=0&hl=en&rclk=1,lahore
Abbassi Hotel,"F8XC+P5W, MadTopping, Commercial Area Model Town, Lahore, Punjab, Pakistan",,,31.4993536,74.3204659,Lahore,Punjab,https://www.google.com/maps/place/Abbassi+Hotel/data=!4m7!3m6!1s0x391905575c716f6f:0x8a96b27341529811!8m2!3d31.4993536!4d74.3204659!16s%2Fg%2F11vf1q24z5!19sChIJb29xXFcFGTkREZhSQXOyloo?authuser=0&hl=en&rclk=1,lahore
Khawaja behari hotel,"Shop no 5, Near Shahrah-e-Quaid-e-Azam, Mozang Chungi, nala, Lahore, Punjab 54000, Pakistan",,,31.5609066,74.3209701,Lahore,Punjab,https://www.google.com/maps/place/Khawaja+behari+hotel/data=!4m7!3m6!1s0x39191b6e3c3cf209:0x236f45569be2a0c2!8m2!3d31.5609066!4d74.3209701!16s%2Fg%2F11pf84g1bl!19sChIJCfI8PG4bGTkRwqDim1ZFbyM?authuser=0&hl=en&rclk=1,lahore
Shaheen hotel,"148 main Lahore â Kasur Rd, near metro bus station, Block E 2 Gulberg III, Lahore, Punjab 54000, Pakistan",shaheen-hotell.business.site,+92 322 4060009,31.5104223,74.3294034,Lahore,Punjab,https://www.google.com/maps/place/Shaheen+hotel/data=!4m7!3m6!1s0x391905797f6698f9:0x8bc8899a14f0a263!8m2!3d31.5104223!4d74.3294034!16s%2Fg%2F11trrvlnhg!19sChIJ-Zhmf3kFGTkRY6LwFJqJyIs?authuser=0&hl=en&rclk=1,lahore
Malik hotel,"J66X+6JP, Jinnah road Nainsukh bypass, Kot Abdul Malik, Lahore, Punjab, Pakistan",,,31.6105878,74.2490699,Lahore,Punjab,https://www.google.com/maps/place/Malik+hotel/data=!4m7!3m6!1s0x39191d6f81d6a2f1:0x786abd720eed05ce!8m2!3d31.6105878!4d74.2490699!16s%2Fg%2F11ng5yw0cp!19sChIJ8aLWgW8dGTkRzgXtDnK9ang?authuser=0&hl=en&rclk=1,lahore
Abid Hotel and Naan Shop,"J76C+Q6W, Bara Dari Rd, Shahdara Town, Lahore, Punjab, Pakistan",,+92 306 0456495,31.6119843,74.2705708,Lahore,Punjab,https://www.google.com/maps/place/Abid+Hotel+and+Naan+Shop/data=!4m7!3m6!1s0x39191dd9d133e9e3:0x70f6ece7ccd5ff71!8m2!3d31.6119843!4d74.2705708!16s%2Fg%2F11rhq6x8tc!19sChIJ4-kz0dkdGTkRcf_VzOfs9nA?authuser=0&hl=en&rclk=1,lahore
Bundu Hotel,"Peer Bahawal Sher Rd, Mozang Chungi, Lahore, Punjab 54000, Pakistan",,,31.5561661,74.3107502,Lahore,Punjab,https://www.google.com/maps/place/Bundu+Hotel/data=!4m7!3m6!1s0x3919035576144bcf:0x5ef91228ea1fefa0!8m2!3d31.5561661!4d74.3107502!16s%2Fg%2F11c2j8gn2q!19sChIJz0sUdlUDGTkRoO8f6igS-V4?authuser=0&hl=en&rclk=1,lahore
Allah Hoo Tea Stall And Hotel,"Askari I Askari 1, Lahore, Punjab 54000, Pakistan",,,31.5440886,74.3839007,Lahore,Punjab,https://www.google.com/maps/place/Allah+Hoo+Tea+Stall+And+Hotel/data=!4m7!3m6!1s0x39191cbc04089f25:0x79eca319a70ffcea!8m2!3d31.5440886!4d74.3839007!16s%2Fg%2F11c5b88ygs!19sChIJJZ8IBLwcGTkR6vwPpxmj7Hk?authuser=0&hl=en&rclk=1,lahore
Dua Hotel (Tea Restaurant),"G9G5+GQ5, Guru Mangat Rd, Rehman Park, Gulberg, Millat Colony, Lahore, Punjab, Pakistan",,,31.5264183,74.3594991,Lahore,Punjab,https://www.google.com/maps/place/Dua+Hotel+%28Tea+Restaurant%29/data=!4m7!3m6!1s0x3919056c94d19629:0x9563da63a88eb82c!8m2!3d31.5264183!4d74.3594991!16s%2Fg%2F11l2_sm1z7!19sChIJKZbRlGwFGTkRLLiOqGPaY5U?authuser=0&hl=en&rclk=1,lahore
Pearl Continental Hotel Lahore,"Shahrah-e-Quaid-e-Azam, G.O.R. - I, Lahore, Punjab, Pakistan",pchotels.com,+92 42 111 505 505,31.5525264,74.3381152,Lahore,Punjab,https://www.google.com/maps/place/Pearl+Continental+Hotel+Lahore/data=!4m10!3m9!1s0x391904c8606da7e9:0xd70a28b88f7720d7!5m2!4m1!1i2!8m2!3d31.5525264!4d74.3381152!16s%2Fg%2F11b6syng_s!19sChIJ6adtYMgEGTkR1yB3j7goCtc?authuser=0&hl=en&rclk=1,lahore
Rose Palace Hotel (Gulberg),"55-N Gurumangat Rd, Block N Gulberg 2, Lahore, Punjab 54000, Pakistan",rosepalacehotel.com,+92 315 4337172,31.5226241,74.3555748,Lahore,Punjab,https://www.google.com/maps/place/Rose+Palace+Hotel+%28Gulberg%29/data=!4m10!3m9!1s0x391904ff018a7c37:0x19a8c4d74c9cf4b2!5m2!4m1!1i2!8m2!3d31.5226241!4d74.3555748!16s%2Fg%2F1tv3m1wk!19sChIJN3yKAf8EGTkRsvScTNfEqBk?authuser=0&hl=en&rclk=1,lahore
Jved hotel,"H8J8+W3V, Walled City of Lahore, Lahore, Punjab, Pakistan",,,31.5823626,74.3151622,Lahore,Punjab,https://www.google.com/maps/place/Jved+hotel/data=!4m7!3m6!1s0x39191ba89675019b:0x9b2b75474b45bd44!8m2!3d31.5823626!4d74.3151622!16s%2Fg%2F11ngjj0sdw!19sChIJmwF1lqgbGTkRRL1FS0d1K5s?authuser=0&hl=en&rclk=1,lahore
Khan Hotel & Tandoor,"G8XQ+97V, Golf Road, Shams Colony G.O.R. - I, Lahore, Punjab, Pakistan",,,31.5484961,74.3381739,Lahore,Punjab,https://www.google.com/maps/place/Khan+Hotel+%26+Tandoor/data=!4m7!3m6!1s0x391904c7aab7f9c1:0xc3a3a722998810f3!8m2!3d31.5484961!4d74.3381739!16s%2Fg%2F11cnbx2ryg!19sChIJwfm3qscEGTkR8xCImSKno8M?authuser=0&hl=en&rclk=1,lahore
Shamas Hotel Walla,"Shams Hotel, Service Rd, Kot Abdul Malik, Sheikhupura, Punjab, Pakistan",,+92 345 4516633,31.6230617,74.2367014,Lahore,Punjab,https://www.google.com/maps/place/Shamas+Hotel+Walla/data=!4m7!3m6!1s0x39191de940df1559:0x5f10c3d0df19f5d8!8m2!3d31.6230617!4d74.2367014!16s%2Fg%2F11b824xq1h!19sChIJWRXfQOkdGTkR2PUZ39DDEF8?authuser=0&hl=en&rclk=1,lahore
Shangla Tea Hotel,"Plot 32, Sector B-1 Block 8 Sector B 1 Lahore, Punjab 54770, Pakistan",,,31.4619884,74.310478,Lahore,Punjab,https://www.google.com/maps/place/Shangla+Tea+Hotel/data=!4m7!3m6!1s0x391901e44539db3b:0xee486eb48981072!8m2!3d31.4619884!4d74.310478!16s%2Fg%2F11fl49bv74!19sChIJO9s5ReQBGTkRchCYSOuG5A4?authuser=0&hl=en&rclk=1,lahore
Mian Hotel and Naan Shop Tandoor,"G899+HR6, Wahdat Rd, Muslim Town, Lahore, Punjab 54000, Pakistan",,+92 334 9780801,31.5189002,74.3195287,Lahore,Punjab,https://www.google.com/maps/place/Mian+Hotel+and+Naan+Shop+Tandoor/data=!4m7!3m6!1s0x39190574a894c30f:0x1cccca6b9ae3db3f!8m2!3d31.5189002!4d74.3195287!16s%2Fg%2F11k9swwk2w!19sChIJD8OUqHQFGTkRP9vjmmvKzBw?authuser=0&hl=en&rclk=1,lahore
Meeraan Paak Hotel and Naan Shop,"pak town, Shanghai Rd, Sitara Colony, Lahore, Punjab, Pakistan",,,31.453698,74.3675877,Lahore,Punjab,https://www.google.com/maps/place/Meeraan+Paak+Hotel+and+Naan+Shop/data=!4m7!3m6!1s0x3919078c711e22a3:0x79b17c95664bcaac!8m2!3d31.453698!4d74.3675877!16s%2Fg%2F11pyy83y61!19sChIJoyIecYwHGTkRrMpLZpV8sXk?authuser=0&hl=en&rclk=1,lahore
"Karachi hotel chaye wala, best chaye","40-26 Anarkali Food St, Anarkali Bazaar Lahore, Punjab 54000, Pakistan",,,31.5662059,74.3094939,Lahore,Punjab,"https://www.google.com/maps/place/Karachi+hotel+chaye+wala,+best+chaye/data=!4m7!3m6!1s0x39191dd9dce92e93:0xa2a0fa7aa343b8ca!8m2!3d31.5662059!4d74.3094939!16s%2Fg%2F11hmzy7ycz!19sChIJky7p3NkdGTkRyrhDo3r6oKI?authuser=0&hl=en&rclk=1",lahore
