intent,example_question,response,category,tags,source
parking_nearby,What are the parking nearby for Lahore Fort?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Lahore_Fort,generated/poi_specific
transport_from_islamabad,I want to know transport from islamabad please.,Drive via M-2 motorway (approx 4 hours) or take intercity buses; train services also connect Islamabad/Rawalpindi to Lahore.,travel_faq,"safety,food,services",generated/traveler_faqs
poi_entry_fee,Tell me about Ichhra Bazaar poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Ichhra_Bazaar,generated/poi_specific
do_hotels_offer_airport_pickup,Can you tell me do hotels offer airport pickup?,Many hotels offer airport pickup for a fee; check with your hotel before arrival.,travel_faq,"safety,food,services",generated/traveler_faqs
poi_hours,What are the poi hours for Packages Mall?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Packages_Mall,generated/poi_specific
how_safe_is_lahore,Give me info about how safe is lahore.,"Lahore is generally safe for tourists, but exercise usual precautions: avoid isolated areas at night, keep belongings secure, and use registered taxis or ride-hailing apps.",travel_faq,"safety,food,services",generated/traveler_faqs
parking_nearby,How to find parking nearby at Data Darbar?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Data_Darbar,generated/poi_specific
photography_policies,Where is photography policies?,Some heritage sites restrict photography or require a fee for professional photography. Always check onsite rules.,photography,"photography,policies",generated/authoritative_general
nightlife_and_dining,nightlife and dining,Nightlife centers around dining�MM Alam Road and Gulberg have late-night restaurants; cultural evening events happen near the Fort and food streets.,nightlife,"nightlife,and,dining",generated/authoritative_general
nearby_restaurants,What are the nearby restaurants for Walled City?,Several restaurants and cafes are located near Walled City; use mapping apps or ask locals for current top picks.,poi,Walled_City,generated/poi_specific
tipping_culture,Where is tipping culture?,Tipping is appreciated in restaurants (5-10%) and for guides/porters depending on service.,tipping,"tipping,culture",generated/authoritative_general
poi_best_time,What are the poi best time for Badshahi Mosque?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Badshahi_Mosque,generated/poi_specific
poi_entry_fee,Tell me about Emporium Mall poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Emporium_Mall,generated/poi_specific
visa_entry_requirements,What is the visa entry requirements in Lahore?,Check Pakistan's official visa portal for requirements. Many nationalities require e-visa or visa on arrival depending on agreements�confirm before travel.,visa,"visa,entry,requirements",generated/authoritative_general
poi_best_time,Tell me about Emporium Mall poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Emporium_Mall,generated/poi_specific
currency_payment,How to get to currency payment?,Local currency is Pakistani Rupee (PKR). Cash is commonly used; cards accepted at many hotels and restaurants. ATMs are widely available in Lahore.,currency,"currency,payment",generated/authoritative_general
nearby_restaurants,How to find nearby restaurants at Data Darbar?,Several restaurants and cafes are located near Data Darbar; use mapping apps or ask locals for current top picks.,poi,Data_Darbar,generated/poi_specific
poi_entry_fee,What are the poi entry fee for MM Alam Road?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,MM_Alam_Road,generated/poi_specific
poi_hours,What are the poi hours for Allama Iqbal Airport?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Allama_Iqbal_Airport,generated/poi_specific
safety_tips,Are there any safety tips in Lahore?,"General safety tips: keep valuables secure, avoid isolated areas at night, use reputable transport, and follow local advice. Emergency numbers: 15 (police), 1122 (ambulance/rescue).",safety,"safety,tips",generated/authoritative_general
poi_entry_fee,Tell me about Bagh-e-Jinnah poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Bagh-e-Jinnah,generated/poi_specific
poi_best_time,How to find poi best time at Fort Road Food Street?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Fort_Road_Food_Street,generated/poi_specific
weather_now,weather now,Lahore has hot summers (May�Sept) and cool winters (Dec�Feb). Monsoon rains commonly occur Jul�Aug. Always check a live weather service before travel.,weather,"weather,now",generated/authoritative_general
shopping_spots,How to get to shopping spots?,"Shopping: Liberty Market, Anarkali Bazaar, Fortress Stadium, Mall Road for souvenirs, and modern malls like Packages Mall and Emporium Mall.",shopping,"shopping,spots",generated/authoritative_general
water_and_food_safety,How to get to water and food safety?,Use bottled or filtered water; street food is delicious but choose busy stalls with high turnover for hygiene.,water,"water,and,food",generated/authoritative_general
family_activities,Tell me about the family activities in Lahore.,"Family-friendly activities include boat rides at Jilani Park, pony rides in Model Town (seasonal), visiting family-friendly restaurants, and parks like Bagh-e-Jinnah.",family,"family,activities",generated/authoritative_general
poi_entry_fee,What are the poi entry fee for Bagh-e-Jinnah?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Bagh-e-Jinnah,generated/poi_specific
poi_hours,What are the poi hours for Bagh-e-Jinnah?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Bagh-e-Jinnah,generated/poi_specific
local_transport,Tell me about the local transport in Lahore.,"Local transport includes rickshaws, taxis, app-based rides (Careem), Lahore Metrobus, and Orange Line Metro for some city routes; check routes/timetables.",local,"local,transport",generated/authoritative_general
poi_hours,What are the poi hours for Fort Road Food Street?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Fort_Road_Food_Street,generated/poi_specific
pet_friendly_policies,pet friendly policies,Many hotels do not allow pets; some private accommodations may. Check property policy before booking.,pet,"pet,friendly,policies",generated/authoritative_general
museums_and_galleries,Are there any museums and galleries in Lahore?,"Museums: Lahore Museum (Anarkali), National History Museum, Pakistan Air Force Museum (nearby), and various smaller galleries. Check opening hours before visiting.",museums,"museums,and,galleries",generated/authoritative_general
parking_info,How to get to parking info?,Parking is available at major sites but limited near old-city attractions; use public transport or paid parking lots to avoid congestion.,parking,"parking,info",generated/authoritative_general
