place_name,category,description,area,source
Lahore Fort (Shahi Qila),Fort/Palace,"Mughal-era fort complex with Sheesh Mahal, Alamgiri Gate",Walled City,"UNESCO, Walled City"
Shalimar Gardens,Garden,"Mughal terraced garden, UNESCO site",Baghbanpura,"UNESCO, Punjab Tourism"
Badshahi Mosque,Mosque,"One of the largest Mughal mosques, adjacent to Lahore Fort",Walled City/Fort Road,"Walled City, TripAdvisor"
Wazir Khan Mosque,Mosque,Famous for faience tile-work and frescoes,Walled City,"Walled City, Wikipedia"
Moti Masjid (Lahore Fort),Mosque,Small marble mosque inside Lahore Fort,Lahore Fort,UNESCO
Suneri Mosque,Mosque,Historic mosque known as Suneri Masjid,Walled City,Wikipedia
Minar-e-Pakistan,Monument,National monument built on site of 1940 Lahore Resolution,Iqbal Park,"TripAdvisor, Wikipedia"
Iqbal Park (Allama Iqbal Park),Park/Monument,Large public park surrounding Minar-e-Pakistan,Ishqbal Park area,TripAdvisor
Delhi Gate,Gate/Heritage,One of the historic gates of Walled City,Walled City,"Walled City site, Wikipedia"
Lahore City Gates - Kashmiri Gate,Gate/Heritage,Historic gate (one of the Walled City gates),Walled City,Walled City
Lahore City Gates - Roshnai Gate,Gate/Heritage,Historic gate,Walled City,Walled City
Lahore City Gates - Lohari Gate,Gate/Heritage,Historic gate,Walled City,Walled City
Shahi Hammam (Royal Bath),Historic Site,Restored Mughal-era public bath,Walled City,Walled City
Hazuri Bagh,Garden/Plaza,Garden between Lahore Fort and Badshahi Mosque,Walled City,Walled City
Shah Chiragh,Tomb/Shrine,Historic shrine inside Walled City,Walled City,Walled City
Gali Surjan Singh,Historic Street,Narrow historic street in old Lahore,Walled City,TripAdvisor
Jahangir's Tomb,Tomb,Mughal emperor Jahangir's tomb complex,Shahdara Bagh,Wikipedia
Nur Jahan Tomb,Tomb,Tomb of Empress Nur Jahan,Shahdara Bagh,Wikipedia
Asif Khan Tomb,Tomb,Mughal noble Asif Khan's tomb,Shahdara,Wikipedia
Akbari Sarai,Sarai/Heritage,Historic sarai near Jahangir's Tomb,Shahdara,Walled City
Rang Mahal (various havelis),Historic House/Haveli,Havelis and mansions in Old Lahore,Walled City/Old Lahore,Heritage lists
Lahore Museum,Museum,Major museum with Gandharan collection and regional history,Mall Road/Anarkali,"Wikipedia, TripAdvisor"
National History Museum (Lahore),Museum,History museum with exhibits,Walled City area,Tourism guides
Army Museum Lahore,Museum,Military history exhibits,Near Mall Road,TripAdvisor
Model Town Library & Galleries (cultural spots),Cultural,Local galleries and cultural centers,Model Town/Gulberg,Local guides
Bagh-e-Jinnah (Lawrence Gardens),Garden/Park,Historic botanical garden and park,Near Mall Road/Canal,Wikipedia
Jilani Park (Race Course Park),Park,Large city park with seasonal flower shows,Gulberg/Canal Bank,Wikipedia
Gaddafi Stadium and Park,Stadium/Park,Major cricket stadium and surrounding park,Gaddafi Stadium area,Wikipedia
Shalimar Gardens - Additional Terraces,Garden,Parts of Shalimar complex,Baghbanpura,UNESCO
Bagh-e-Aa'lia / Local historic gardens,Garden,Smaller heritage gardens,Various,Heritage lists
Pakistan Air Force Museum (Lahore),Museum,Exhibits on aviation history,Near Walton,TripAdvisor
Ministry / Governor House (Governor's House),Colonial Building,Official residence with colonial architecture,Civil Lines,Wikipedia
Aitchison College (historic campus),Historic Campus,Colonial era educational campus with historic buildings,Gulberg,Heritage lists
Anarkali Bazaar,Market,One of the oldest surviving markets in South Asia,Anarkali,"Wikipedia, TripAdvisor"
Fort Road Food Street,Food Street,Restaurants and food vendors near Lahore Fort,Fort Road,TripAdvisor
Gawalmandi Food Street,Food Street,Famous food street with traditional cuisine,Gawalmandi,Local guides
Liberty Market,Market,Popular shopping area,Gulberg,TripAdvisor
Ichhra Bazaar,Market,Traditional market for fabrics and goods,Ichhra,Local guides
Basant Market (seasonal events locations),Seasonal Market,Markets and kite-flying event locations,Various,Local news
Data Darbar (Shrine of Data Ganj Bakhsh),Shrine,Major Sufi shrine and pilgrimage site,Near Bhati Gate area,Wikipedia
"Mazar of Shah Rukn-e-Alam (note: this is in Multan, not Lahore)",Shrine,N/A,Other,
Shrine of Pir Meher Ali Shah (nearby region),Shrine,Prominent Sufi shrine nearby,Nearby,Local
Wagah-Attari Border Ceremony (Wagah Border),Border Ceremony,Flag-lowering ceremony on Wagah Border,Wagah,TripAdvisor
Minar-e-Pakistan Museum area,Museum/Monument area,Visitor facilities around Minar-e-Pakistan,Iqpbal Park,Tourism
Hall Road (electronics market),Market,Large electronics market,Hall Road,Local guides
Fortress Stadium complex,Shopping/Entertainment,Stadium complex with shopping and dining,Fortress Stadium,Local guides
Data Ganj Bakhsh Library & complex,Cultural/Shrine,Library and religious complex around Data Darbar,Near Data Darbar,Local guides
Joyland ( amusement park ),Amusement Park,Large family amusement park,Gulshan-e-Ravi/near Fortress,TripAdvisor
Sozo Water Park,Water Park,Water park for family recreation,near Lahore,TripAdvisor
Skyland Water Park,Water Park,Water-based activities,near Lahore,Local guides
Gulshan-e-Iqbal Park,Park,Local park often used for family outings,Various,Local sources
Gurudwara Dera Sahib,Sikh Gurdwara,Historic Sikh shrine connected to Guru's history,Walled City area,Wikipedia
Samadhi of Ranjit Singh (Ranjit Singh's Samadhi),Mausoleum,Mausoleum of Maharaja Ranjit Singh,Walled City,Walled City site
Old Secretariat / Civil Secretariat buildings (historic),Colonial Building,Historic administrative buildings,Civil Lines,Heritage lists
Nakodar Haveli (example historic haveli),Haveli/Historic House,Historic townhouses and merchant houses,Old Lahore,Heritage lists
Lahore Zoo,Zoo,One of the oldest zoos in the region,near Mall Road,TripAdvisor
Punjab University Old Campus & Museum,University/Museum,Historic university campus with architecture,Quaid-e-Azam Campus,Local guides
WAPDA House monuments (nearby),Landmark,Administrative landmark,Various,Local
Miani Sahib Graveyard,Cemetery/Heritage,Large historic cemetery,Miani Sahib,Wikipedia
Gora Qabristan (Christian Cemetery),Cemetery,Historic Christian cemetery,Various,Wikipedia
